Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist,Minutes
Compulsion,Miles Davis,345025,11254474.0,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,5.750416666666666
Drain You,Kurt Cobain,223973,7273440.0,0.99,Rock,Nevermind,Nirvana,3.7328833333333336
Nobody Knows You When You're Down & Out,Jimmy Cox,231836,7669922.0,0.99,Blues,Unplugged,Eric Clapton,3.863933333333333
Essa Moça Ta Diferente,,167235,5568574.0,0.99,Latin,Minha Historia,Chico Buarque,2.78725
Funk De Bamba (Com Fernanda Abreu),,237191,7866165.0,0.99,Latin,Roda De Funk,Funk Como Le Gusta,3.9531833333333335
New Rhumba,Miles Davis,277968,9018024.0,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,4.6328
Cropduster,Matt Cameron,231888,7588928.0,0.99,Rock,Riot Act,Pearl Jam,3.8648
Failling,Jay Kay/Toby Smith,225227,7503999.0,0.99,R&B/Soul,Synkronized,Jamiroquai,3.7537833333333332
Azul,Djavan,253962,8381029.0,0.99,Latin,Djavan Ao Vivo - Vol. 1,Djavan,4.2327
Esporrei Na Manivela,Rodolfo,293276,9618499.0,0.99,Alternative & Punk,Cesta Básica,Raimundos,4.887933333333334
Um Pro Outro,,236382,7825215.0,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 01,Lulu Santos,3.9397
A Kind Of Magic,Roger Taylor,262608,8689618.0,0.99,Rock,Greatest Hits II,Queen,4.3768
Aviso Aos Navegantes,,242808,8058651.0,0.99,Latin,Lulu Santos - RCA 100 Anos De Música - Álbum 02,Lulu Santos,4.0468
Puteiro Em João Pessoa,Rodolfo,195578,6395490.0,0.99,Alternative & Punk,Cesta Básica,Raimundos,3.2596333333333334
The Wake-Up Bomb,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,308532,10077337.0,0.99,Rock,New Adventures In Hi-Fi,R.E.M.,5.1422
Cidade,,216346,7241817.0,0.99,Latin,Da Lama Ao Caos,Chico Science & Nação Zumbi,3.605766666666667
Deus Ex Machina,,2582009,214996732.0,1.99,TV Shows,"Lost, Season 1",Lost,43.033483333333336
O Descobridor Dos Sete Mares,Gilson Mendonça/Michel,262974,8749583.0,0.99,Latin,Serie Sem Limite (Disc 1),Tim Maia,4.3829
Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.891416666666666
Criança De Domingo,Chico Science,208222,6984813.0,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi,3.4703666666666666
Let's Spend The Night Together,Jagger/Richards,217495,7137048.0,0.99,Rock,"Hot Rocks, 1964-1971 (Disc 1)",The Rolling Stones,3.6249166666666666
Free Me,"Dave Grohl, Taylor Hawkins, Nate Mendel, Chris Shiflett",278700,9109340.0,0.99,Rock,In Your Honor [Disc 1],Foo Fighters,4.645
Rosas De Ouro 2001,,284342,9721084.0,0.99,Soundtrack,Carnaval 2001,Various Artists,4.739033333333333
Sheer Heart Attack,Taylor,207386,6642685.0,0.99,Rock,News Of The World,Queen,3.4564333333333335
Springsville (Alternate Take),J. Carisi,196388,6382079.0,0.99,Jazz,Miles Ahead,Miles Davis,3.2731333333333335
Love,,326739,10729824.0,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,5.44565
Oração,,271072,9003882.0,0.99,Latin,Deixa Entrar,Falamansa,4.5178666666666665
Into The Fire,"Blackmore, Gillan, Glover, Lord, Paice",210259,6849310.0,0.99,Rock,Deep Purple In Rock,Deep Purple,3.5043166666666665
Bicycle Race,"Mercury, Freddie",183823,6012409.0,0.99,Rock,Greatest Hits I,Queen,3.0637166666666666
Running Free,Paul Di'Anno/Steve Harris,199706,6483496.0,0.99,Rock,The Beast Live,Paul D'Ianno,3.3284333333333334
Marquis In Spades,Billy Corgan,192731,6304789.0,0.99,Alternative & Punk,Judas 0: B-Sides and Rarities,Smashing Pumpkins,3.2121833333333334
She Give Me ...,David Coverdale,252551,8385478.0,0.99,Rock,Into The Light,David Coverdale,4.209183333333334
Born On The Bayou,J.C. Fogerty,316630,10361866.0,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival,5.277166666666667
O Segredo Do Universo,,192679,6315187.0,0.99,Rock,Raul Seixas,Raul Seixas,3.211316666666667
"The Gun On Ice Planet Zero, Pt. 1",,2907615,540980196.0,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),48.46025
"""Eine Kleine Nachtmusik"" Serenade In G, K. 525: I. Allegro",Wolfgang Amadeus Mozart,348971,5760129.0,0.99,Classical,Sir Neville Marriner: A Celebration,Academy of St. Martin in the Fields Chamber Ensemble & Sir Neville Marriner,5.816183333333333
Deus,,284160,9188110.0,0.99,Rock,Compositores,O Terço,4.736
"Lamentations of Jeremiah, First Set \ Incipit Lamentatio",Thomas Tallis,69194,1208080.0,0.99,Classical,English Renaissance,The King's Singers,1.1532333333333333
Chaos-Control,"Terry Bozzio, Steve Stevens, Tony Levin",529841,17455568.0,0.99,Rock,[1997] Black Light Syndrome,"Terry Bozzio, Tony Levin & Steve Stevens",8.830683333333333
Theme From Let's Go Native,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",186723,6179777.0,0.99,Soundtrack,Original Soundtracks 1,Passengers,3.11205
08 - Charlotte the Harlot,Murray  Dave,252708,6066304.0,0.99,Blues,Iron Maiden,Iron Maiden,4.2118
Now Sports,,4884,161266.0,0.99,Alternative & Punk,Body Count,Body Count,0.0814
Communication Breakdown,Jimmy Page/John Bonham/John Paul Jones,192653,6287257.0,0.99,Rock,BBC Sessions [Disc 1] [Live],Led Zeppelin,3.2108833333333333
Mundaréu,,217521,7158975.0,0.99,Rock,Compositores,O Terço,3.62535
Aneurysm,Nirvana,271516,8862545.0,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana,4.525266666666667
Someday My Prince Will Come,Miles Davis,544078,17890773.0,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,9.067966666666667
Crumbs From Your Table,"Adam Clayton, Bono, Larry Mullen & The Edge",303568,9892349.0,0.99,Rock,How To Dismantle An Atomic Bomb,U2,5.059466666666666
Go Down,AC/DC,331180,10847611.0,0.99,Rock,Let There Be Rock,AC/DC,5.519666666666667
Ponta de Areia,"Milton Nascimento, Fernando Brant",272796,8874285.0,0.99,Latin,Minas,Milton Nascimento,4.5466
O Trem Da Juventude,Herbert Vianna,225880,7507655.0,0.99,Latin,Acústico MTV,Os Paralamas Do Sucesso,3.764666666666667
Body Count's In The House,,204251,6715413.0,0.99,Alternative & Punk,Body Count,Body Count,3.404183333333333
A.N.D.R.O.T.A.Z.,,266266,8574746.0,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,4.437766666666667
Wicked Garden,D. DeLeo/R. DeLeo/Weiland,245368,7989505.0,0.99,Rock,Core,Stone Temple Pilots,4.089466666666667
Once,Stone Gossard,231758,7561555.0,0.99,Rock,Ten,Pearl Jam,3.862633333333333
Eu So Queria Sumir,,269740,10791921.0,0.99,Electronica/Dance,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,4.495666666666667
The Green Manalishi,,205792,6720789.0,0.99,Metal,Living After Midnight,Judas Priest,3.429866666666667
Desire,U2,179853,5893206.0,0.99,Rock,The Best Of 1980-1990,U2,2.99755
The Apparition,Janick Gers/Steve Harris,234605,9386112.0,0.99,Rock,Fear Of The Dark,Iron Maiden,3.910083333333333
In Bloom,Kurt Cobain,254928,8327077.0,0.99,Rock,Nevermind,Nirvana,4.2488
If God Will Send His Angels,"Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329.0,0.99,Rock,Pop,U2,5.37555
Carmina Burana: O Fortuna,Carl Orff,156710,2630293.0,0.99,Classical,Carmina Burana,Boston Symphony Orchestra & Seiji Ozawa,2.6118333333333332
Children Of The Damned,Steve Harris,278177,6678446.0,0.99,Heavy Metal,Live After Death,Iron Maiden,4.636283333333333
Momma's Gotta Die Tonight,,371539,12122946.0,0.99,Alternative & Punk,Body Count,Body Count,6.192316666666667
Original Of The Species,"Adam Clayton, Bono, Larry Mullen & The Edge",281443,9230041.0,0.99,Rock,How To Dismantle An Atomic Bomb,U2,4.690716666666667
Meu Guarda-Chuva,,248528,8216625.0,0.99,Latin,Roda De Funk,Funk Como Le Gusta,4.142133333333334
Ice 9,,239721,4036215.0,0.99,Rock,Surfing with the Alien (Remastered),Joe Satriani,3.99535
May This Be Love,Jimi Hendrix,191216,6240028.0,0.99,Rock,Are You Experienced?,Jimi Hendrix,3.186933333333333
Já Foi,Mônica Marianno,245681,8094872.0,0.99,World,Demorou...,Mônica Marianno,4.094683333333333
À Francesa,,244532,8150846.0,0.99,Latin,Na Pista,Cláudio Zoli,4.0755333333333335
The Loneliness of the Long Dis,Steve Harris,391314,9393598.0,0.99,Metal,Somewhere in Time,Iron Maiden,6.5219
You Shook Me(2),J B Lenoir/Willie Dixon,619467,20138673.0,0.99,Rock,BBC Sessions [Disc 1] [Live],Led Zeppelin,10.32445
The Magnificent Warriors,,2924716,570152232.0,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),48.745266666666666
Four Walled World,,414474,6964048.0,0.99,Alternative,Temple of the Dog,Temple of the Dog,6.9079
Negative Creep,Kurt Cobain,163761,5354854.0,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana,2.72935
The Hard Part,,2601017,475996611.0,1.99,Drama,"Heroes, Season 1",Heroes,43.35028333333333
Romeo et Juliette: No. 11 - Danse des Chevaliers,,275015,4519239.0,0.99,Classical,Prokofiev: Romeo & Juliet,Michael Tilson Thomas & San Francisco Symphony,4.583583333333333
I'm The One,"Edward Van Halen, Alex Van Halen, Michael Anthony and David Lee Roth",226507,7373922.0,0.99,Rock,Van Halen,Van Halen,3.7751166666666665
Black Diamond,Paul Stanley,314148,10266007.0,0.99,Rock,Greatest Kiss,Kiss,5.2358
Black Dog,John Paul Jones/Robert Plant,317622,10267572.0,0.99,Rock,BBC Sessions [Disc 2] [Live],Led Zeppelin,5.2937
Abandoned,,2587041,537348711.0,1.99,TV Shows,"Lost, Season 2",Lost,43.11735
Hey Hey,Big Bill Broonzy,196466,6543487.0,0.99,Blues,Unplugged,Eric Clapton,3.2744333333333335
Everlong,Dave Grohl,250749,8270816.0,0.99,Rock,The Colour And The Shape,Foo Fighters,4.17915
Your Time Is Gonna Come,Jimmy Page/John Paul Jones,274860,9011653.0,0.99,Rock,Led Zeppelin I,Led Zeppelin,4.581
For Those About To Rock (We Salute You),"Angus Young, Malcolm Young, Brian Johnson",343719,,0.99,Rock,For Those About To Rock We Salute You,AC/DC,5.72865
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.4277
Let's Get It Up,"Angus Young, Malcolm Young, Brian Johnson",233926,7636561.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.8987666666666665
Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.5139
Snowballed,"Angus Young, Malcolm Young, Brian Johnson",203102,6599424.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.3850333333333333
Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,4.391616666666667
C.O.D.,"Angus Young, Malcolm Young, Brian Johnson",199836,6566314.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.3306
Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,4.388133333333333
Night Of The Long Knives,"Angus Young, Malcolm Young, Brian Johnson",205688,6706347.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.4281333333333333
Spellbound,"Angus Young, Malcolm Young, Brian Johnson",270863,8817038.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,4.514383333333333
Balls to the Wall,,342562,5510424.0,0.99,Rock,Balls to the Wall,Accept,5.709366666666667
Fast As a Shark,"F. Baltes, S. Kaufman, U. Dirkscneider & W. Hoffman",230619,3990994.0,0.99,Rock,Restless and Wild,Accept,3.84365
Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779.0,0.99,Rock,Restless and Wild,Accept,4.20085
Princess of the Dawn,Deaffy & R.A. Smith-Diesel,375418,6290521.0,0.99,Rock,Restless and Wild,Accept,6.256966666666667
Go Down,AC/DC,331180,10847611.0,0.99,Rock,Let There Be Rock,AC/DC,5.519666666666667
Dog Eat Dog,AC/DC,215196,7032162.0,0.99,Rock,Let There Be Rock,AC/DC,3.5866
Let There Be Rock,AC/DC,366654,12021261.0,0.99,Rock,Let There Be Rock,AC/DC,6.1109
Bad Boy Boogie,AC/DC,267728,8776140.0,0.99,Rock,Let There Be Rock,AC/DC,4.462133333333333
Problem Child,AC/DC,325041,10617116.0,0.99,Rock,Let There Be Rock,AC/DC,5.41735
Overdose,AC/DC,369319,12066294.0,0.99,Rock,Let There Be Rock,AC/DC,6.155316666666667
Hell Ain't A Bad Place To Be,AC/DC,254380,8331286.0,0.99,Rock,Let There Be Rock,AC/DC,4.2396666666666665
Whole Lotta Rosie,AC/DC,323761,10547154.0,0.99,Rock,Let There Be Rock,AC/DC,5.396016666666666
Walk On Water,"Steven Tyler, Joe Perry, Jack Blades, Tommy Shaw",295680,9719579.0,0.99,Rock,Big Ones,Aerosmith,4.928
Love In An Elevator,"Steven Tyler, Joe Perry",321828,10552051.0,0.99,Rock,Big Ones,Aerosmith,5.3638
Rag Doll,"Steven Tyler, Joe Perry, Jim Vallance, Holly Knight",264698,8675345.0,0.99,Rock,Big Ones,Aerosmith,4.4116333333333335
What It Takes,"Steven Tyler, Joe Perry, Desmond Child",310622,10144730.0,0.99,Rock,Big Ones,Aerosmith,5.177033333333333
Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",264855,8679940.0,0.99,Rock,Big Ones,Aerosmith,4.41425
Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330736,10869391.0,0.99,Rock,Big Ones,Aerosmith,5.512266666666667
Cryin',"Steven Tyler, Joe Perry, Taylor Rhodes",309263,10056995.0,0.99,Rock,Big Ones,Aerosmith,5.1543833333333335
Amazing,"Steven Tyler, Richie Supa",356519,11616195.0,0.99,Rock,Big Ones,Aerosmith,5.941983333333333
Blind Man,"Steven Tyler, Joe Perry, Taylor Rhodes",240718,7877453.0,0.99,Rock,Big Ones,Aerosmith,4.011966666666667
Deuces Are Wild,"Steven Tyler, Jim Vallance",215875,7074167.0,0.99,Rock,Big Ones,Aerosmith,3.597916666666667
The Other Side,"Steven Tyler, Jim Vallance",244375,7983270.0,0.99,Rock,Big Ones,Aerosmith,4.072916666666667
Crazy,"Steven Tyler, Joe Perry, Desmond Child",316656,10402398.0,0.99,Rock,Big Ones,Aerosmith,5.2776
Eat The Rich,"Steven Tyler, Joe Perry, Jim Vallance",251036,8262039.0,0.99,Rock,Big Ones,Aerosmith,4.183933333333333
Angel,"Steven Tyler, Desmond Child",307617,9989331.0,0.99,Rock,Big Ones,Aerosmith,5.12695
Livin' On The Edge,"Steven Tyler, Joe Perry, Mark Hudson",381231,12374569.0,0.99,Rock,Big Ones,Aerosmith,6.35385
All I Really Want,Alanis Morissette & Glenn Ballard,284891,9375567.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.748183333333333
You Oughta Know,Alanis Morissette & Glenn Ballard,249234,8196916.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.1539
Perfect,Alanis Morissette & Glenn Ballard,188133,6145404.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.13555
Hand In My Pocket,Alanis Morissette & Glenn Ballard,221570,7224246.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.692833333333333
Right Through You,Alanis Morissette & Glenn Ballard,176117,5793082.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,2.9352833333333335
Forgiven,Alanis Morissette & Glenn Ballard,300355,9753256.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,5.005916666666667
You Learn,Alanis Morissette & Glenn Ballard,239699,7824837.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.9949833333333333
Head Over Feet,Alanis Morissette & Glenn Ballard,267493,8758008.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.458216666666667
Mary Jane,Alanis Morissette & Glenn Ballard,280607,9163588.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.676783333333334
Ironic,Alanis Morissette & Glenn Ballard,229825,7598866.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.830416666666667
Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.79385
Wake Up,Alanis Morissette & Glenn Ballard,293485,9703359.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,4.891416666666666
You Oughta Know (Alternate),Alanis Morissette & Glenn Ballard,491885,16008629.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,8.198083333333333
We Die Young,Jerry Cantrell,152084,4925362.0,0.99,Rock,Facelift,Alice In Chains,2.5347333333333335
Man In The Box,"Jerry Cantrell, Layne Staley",286641,9310272.0,0.99,Rock,Facelift,Alice In Chains,4.77735
Sea Of Sorrow,Jerry Cantrell,349831,11316328.0,0.99,Rock,Facelift,Alice In Chains,5.830516666666667
Bleed The Freak,Jerry Cantrell,241946,7847716.0,0.99,Rock,Facelift,Alice In Chains,4.0324333333333335
I Can't Remember,"Jerry Cantrell, Layne Staley",222955,7302550.0,0.99,Rock,Facelift,Alice In Chains,3.7159166666666668
"Love, Hate, Love","Jerry Cantrell, Layne Staley",387134,12575396.0,0.99,Rock,Facelift,Alice In Chains,6.452233333333333
It Ain't Like That,"Jerry Cantrell, Michael Starr, Sean Kinney",277577,8993793.0,0.99,Rock,Facelift,Alice In Chains,4.626283333333333
Sunshine,Jerry Cantrell,284969,9216057.0,0.99,Rock,Facelift,Alice In Chains,4.749483333333333
Put You Down,Jerry Cantrell,196231,6420530.0,0.99,Rock,Facelift,Alice In Chains,3.2705166666666665
Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647.0,0.99,Rock,Facelift,Alice In Chains,5.73605
I Know Somethin (Bout You),Jerry Cantrell,261955,8497788.0,0.99,Rock,Facelift,Alice In Chains,4.365916666666666
Real Thing,"Jerry Cantrell, Layne Staley",243879,7937731.0,0.99,Rock,Facelift,Alice In Chains,4.06465
Desafinado,,185338,5990473.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,3.088966666666667
Garota De Ipanema,,285048,9348428.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,4.7508
Samba De Uma Nota Só (One Note Samba),,137273,4535401.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,2.2878833333333333
Por Causa De Você,,169900,5536496.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,2.8316666666666666
Ligia,,251977,8226934.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,4.1996166666666666
Fotografia,,129227,4198774.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,2.153783333333333
Dindi (Dindi),,253178,8149148.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,4.219633333333333
Se Todos Fossem Iguais A Você (Instrumental),,134948,4393377.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,2.2491333333333334
Falando De Amor,,219663,7121735.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,3.66105
Angela,,169508,5574957.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,2.8251333333333335
Corcovado (Quiet Nights Of Quiet Stars),,205662,6687994.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,3.4277
Outra Vez,,126511,4110053.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,2.1085166666666666
O Boto (Bôto),,366837,12089673.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,6.11395
"Canta, Canta Mais",,271856,8719426.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,4.5309333333333335
Enter Sandman,Apocalyptica,221701,7286305.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,3.6950166666666666
Master Of Puppets,Apocalyptica,436453,14375310.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,7.274216666666667
Harvester Of Sorrow,Apocalyptica,374543,12372536.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,6.242383333333334
The Unforgiven,Apocalyptica,322925,10422447.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,5.382083333333333
Sad But True,Apocalyptica,288208,9405526.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,4.803466666666667
Creeping Death,Apocalyptica,308035,10110980.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,5.133916666666667
Wherever I May Roam,Apocalyptica,369345,12033110.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,6.15575
Welcome Home (Sanitarium),Apocalyptica,350197,11406431.0,0.99,Metal,Plays Metallica By Four Cellos,Apocalyptica,5.836616666666667
Cochise,Audioslave/Chris Cornell,222380,5339931.0,0.99,Rock,Audioslave,Audioslave,3.7063333333333333
Show Me How to Live,Audioslave/Chris Cornell,277890,6672176.0,0.99,Rock,Audioslave,Audioslave,4.6315
Gasoline,Audioslave/Chris Cornell,279457,6709793.0,0.99,Rock,Audioslave,Audioslave,4.657616666666667
What You Are,Audioslave/Chris Cornell,249391,5988186.0,0.99,Rock,Audioslave,Audioslave,4.156516666666667
Like a Stone,Audioslave/Chris Cornell,294034,7059624.0,0.99,Rock,Audioslave,Audioslave,4.900566666666666
Set It Off,Audioslave/Chris Cornell,263262,6321091.0,0.99,Rock,Audioslave,Audioslave,4.3877
Shadow on the Sun,Audioslave/Chris Cornell,343457,8245793.0,0.99,Rock,Audioslave,Audioslave,5.724283333333333
I am the Highway,Audioslave/Chris Cornell,334942,8041411.0,0.99,Rock,Audioslave,Audioslave,5.582366666666666
Exploder,Audioslave/Chris Cornell,206053,4948095.0,0.99,Rock,Audioslave,Audioslave,3.4342166666666665
Hypnotize,Audioslave/Chris Cornell,206628,4961887.0,0.99,Rock,Audioslave,Audioslave,3.4438
Bring'em Back Alive,Audioslave/Chris Cornell,329534,7911634.0,0.99,Rock,Audioslave,Audioslave,5.492233333333333
Light My Way,Audioslave/Chris Cornell,303595,7289084.0,0.99,Rock,Audioslave,Audioslave,5.059916666666667
Getaway Car,Audioslave/Chris Cornell,299598,7193162.0,0.99,Rock,Audioslave,Audioslave,4.9933
The Last Remaining Light,Audioslave/Chris Cornell,317492,7622615.0,0.99,Rock,Audioslave,Audioslave,5.291533333333334
Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255529,8273592.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.258816666666666
Out Of Exile,"Cornell, Commerford, Morello, Wilk",291291,9506571.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.85485
Be Yourself,"Cornell, Commerford, Morello, Wilk",279484,9106160.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.658066666666667
Doesn't Remind Me,"Cornell, Commerford, Morello, Wilk",255869,8357387.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.264483333333334
Drown Me Slowly,"Cornell, Commerford, Morello, Wilk",233691,7609178.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,3.89485
Heaven's Dead,"Cornell, Commerford, Morello, Wilk",276688,9006158.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.611466666666667
The Worm,"Cornell, Commerford, Morello, Wilk",237714,7710800.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,3.9619
Man Or Animal,"Cornell, Commerford, Morello, Wilk",233195,7542942.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,3.8865833333333333
Yesterday To Tomorrow,"Cornell, Commerford, Morello, Wilk",273763,8944205.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.562716666666667
Dandelion,"Cornell, Commerford, Morello, Wilk",278125,9003592.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.635416666666667
#1 Zero,"Cornell, Commerford, Morello, Wilk",299102,9731988.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.985033333333333
The Curse,"Cornell, Commerford, Morello, Wilk",309786,10029406.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,5.1631
Money,"Berry Gordy, Jr./Janie Bradford",147591,2365897.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.45985
Long Tall Sally,"Enotris Johnson/Little Richard/Robert ""Bumps"" Blackwell",106396,1707084.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,1.7732666666666668
Bad Boy,Larry Williams,116088,1862126.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,1.9348
Twist And Shout,Bert Russell/Phil Medley,161123,2582553.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.6853833333333332
Please Mr. Postman,Brian Holland/Freddie Gorman/Georgia Dobbins/Robert Bateman/William Garrett,137639,2206986.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.2939833333333333
C'Mon Everybody,Eddie Cochran/Jerry Capehart,140199,2247846.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.33665
Rock 'N' Roll Music,Chuck Berry,141923,2276788.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.3653833333333334
Slow Down,Larry Williams,163265,2616981.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.7210833333333335
Roadrunner,Bo Diddley,143595,2301989.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.39325
Carol,Chuck Berry,143830,2306019.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,2.3971666666666667
Good Golly Miss Molly,Little Richard,106266,1704918.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,1.7711
20 Flight Rock,Ned Fairchild,107807,1299960.0,0.99,Rock And Roll,BackBeat Soundtrack,BackBeat,1.7967833333333334
Quadrant,Billy Cobham,261851,8538199.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,4.364183333333333
Snoopy's search-Red baron,Billy Cobham,456071,15075616.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,7.601183333333333
"Spanish moss-""A sound portrait""-Spanish moss",Billy Cobham,248084,8217867.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,4.134733333333333
Moon germs,Billy Cobham,294060,9714812.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,4.901
Stratus,Billy Cobham,582086,19115680.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,9.701433333333334
The pleasant pheasant,Billy Cobham,318066,10630578.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,5.3011
Solo-Panhandler,Billy Cobham,246151,8230661.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,4.102516666666666
Do what cha wanna,George Duke,274155,9018565.0,0.99,Jazz,The Best Of Billy Cobham,Billy Cobham,4.56925
Intro/ Low Down,,323683,10642901.0,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,5.394716666666667
13 Years Of Grief,,246987,8137421.0,0.99,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,4.11645
